Symbol,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
"NUBL","2025-02-04","713.8","713.8","687.2","695.7","-0.60 %","14,661.00"
"NUBL","2025-02-03","714","714","699.1","699.9","-0.01 %","29,084.00"
"NUBL","2025-02-02","675","704","672.2","700","4.48 %","29,956.00"
"NUBL","2025-01-28","668","675","660","670","0.15 %","16,582.00"
"NUBL","2025-01-27","684.9","684.9","669","669","-1.04 %","11,352.00"
"NUBL","2025-01-26","686.8","690","675","676","-1.57 %","7,632.00"
"NUBL","2025-01-23","682.1","690","682.1","686.8","-0.68 %","7,776.00"
"NUBL","2025-01-22","691.9","691.9","671.1","691.5","1.93 %","17,889.00"
"NUBL","2025-01-21","688.5","688.5","674.8","678.4","0.50 %","10,256.00"
"NUBL","2025-01-20","674","679.9","669.1","675","0.73 %","8,600.00"
"NUBL","2025-01-19","687.9","687.9","667.8","670.1","-0.65 %","9,171.00"
"NUBL","2025-01-16","671","675","669","674.5","-1.24 %","8,327.00"
"NUBL","2025-01-15","692.9","692.9","669","683","-0.15 %","13,928.00"
"NUBL","2025-01-13","692","692","665","684","0.22 %","14,556.00"
"NUBL","2025-01-12","671","682.5","663.1","682.5","0.92 %","14,508.00"
"NUBL","2025-01-09","696.8","696.8","675.1","676.3","-1.99 %","22,715.00"
"NUBL","2025-01-08","687.9","700","685","690","2.09 %","40,635.00"
"NUBL","2025-01-07","688.3","688.3","668","675.9","0.13 %","7,852.00"
"NUBL","2025-01-06","671","684.3","670.3","675","0.00 %","16,704.00"
"NUBL","2025-01-05","694.4","694.4","670","675","-1.30 %","4,092.00"
"NUBL","2025-01-02","689.9","689.9","676.4","683.9","0.57 %","6,671.00"
"NUBL","2025-01-01","687.8","687.9","674.1","680","0.74 %","8,914.00"
"NUBL","2024-12-31","697","697","671.4","675","-2.32 %","11,508.00"
"NUBL","2024-12-29","680","700","669","691","1.62 %","17,405.00"
"NUBL","2024-12-26","692.9","692.9","670","680","0.00 %","10,727.00"
"NUBL","2024-12-24","694.6","694.6","673.2","680","-0.15 %","11,008.00"
"NUBL","2024-12-23","685.8","685.8","672.1","681","1.14 %","10,939.00"
"NUBL","2024-12-22","701","701","667","673.3","-2.14 %","16,038.00"
"NUBL","2024-12-19","699","699","672.4","688","-0.15 %","7,634.00"
"NUBL","2024-12-18","703","703.6","682","689","-0.58 %","4,084.00"
"NUBL","2024-12-17","703.8","703.8","678","693","0.43 %","2,932.00"
"NUBL","2024-12-16","718","718","688","690","-1.99 %","5,045.00"
"NUBL","2024-12-12","688","719.8","670","704","2.47 %","171,169.00"
"NUBL","2024-12-11","680","688.9","680","687","0.31 %","3,118.00"
"NUBL","2024-12-10","692","692","673","684.9","0.54 %","5,492.00"
"NUBL","2024-12-09","680","692","680","681.2","0.32 %","6,707.00"
"NUBL","2024-12-08","700","700","675.1","679","-1.88 %","11,252.00"
