Date,Action,Reward,Cumulative_Reward,Portfolio_Value,Stock_Price,Position
2014-12-11,2,0.0,0.0,10000.0,590.0,0
2014-12-14,2,0.0,0.0,10000.0,615.0,0
2014-12-15,2,0.0,0.0,10000.0,620.0,0
2014-12-16,1,0.0036690211805216074,0.0036690211805216074,9994.02,598.0,10
2014-12-17,2,0.00112053274788776,0.004789553928409367,10008.02,600.0,0
2014-12-18,2,0.0,0.004789553928409367,10008.02,600.0,0
2014-12-21,2,0.0,0.004789553928409367,10008.02,608.0,0
2014-12-22,2,0.0,0.004789553928409367,10008.02,590.0,0
2014-12-23,2,0.0,0.004789553928409367,10008.02,575.0,0
2014-12-24,2,0.0,0.004789553928409367,10008.02,580.0,0
2014-12-28,1,-0.03154175671694684,-0.026752202788537474,10002.02,600.0,10
2014-12-29,1,-0.01723281685731057,-0.04398501964584804,9912.02,591.0,10
2014-12-31,1,0.09375519743605175,0.04977017779020371,10392.02,639.0,10
2015-01-01,1,0.05629247566153397,0.10606265345173768,10692.02,669.0,10
2015-01-04,2,0.12115053323010448,0.22721318668184215,10975.04,698.0,0
2015-01-05,1,0.20376452928414954,0.43097771596599166,10967.870000000003,717.0,10
2015-01-06,2,0.10164468688737525,0.5326224028533669,10990.670000000002,720.0,0
2015-01-07,2,0.0,0.5326224028533669,10990.670000000002,769.0,0
2015-01-08,2,0.0,0.5326224028533669,10990.670000000002,845.0,0
2015-01-11,2,0.0,0.5326224028533669,10990.670000000002,851.0,0
2015-01-12,1,0.26232153098310873,0.7949439338364757,10982.490000000002,818.0,10
2015-01-13,1,0.0420487132178662,0.8369926470543418,11202.490000000002,840.0,10
2015-01-14,1,-0.03178557269276043,0.8052070743615815,11032.490000000002,823.0,10
2015-01-18,2,0.0870707459673624,0.8922778203289439,10854.430000000002,806.0,0
2015-01-19,1,-0.013716093409793687,0.8785617269191501,10846.480000000003,795.0,10
2015-01-20,2,0.09644469498117912,0.9750064219003293,10798.570000000003,791.0,0
2015-01-22,1,0.06327555241757242,1.0382819743179017,10790.820000000003,775.0,10
2015-01-25,1,0.04792606005509936,1.086208034373001,11040.820000000003,800.0,10
2015-01-26,1,0.0018742307104671204,1.088082265083468,11050.820000000003,801.0,10
2015-01-27,1,-0.0018722549976979684,1.0862100100857701,11040.820000000003,800.0,10
2015-01-28,1,0.001874212422548473,1.0880842225083185,11050.820000000003,801.0,10
2015-01-29,1,-0.003743928281598053,1.0843402942267204,11030.820000000003,799.0,10
2015-02-01,1,-0.01685558965855088,1.0674847045681695,10940.820000000003,790.0,10
2015-02-02,2,0.006725170326341825,1.0742098748945113,11032.820000000003,800.0,0
2015-02-03,1,0.10654387074705036,1.1807537456415615,11024.650000000005,817.0,10
2015-02-04,2,0.030555515757804217,1.2113092613993657,11446.050000000003,860.0,0
2015-02-05,2,0.0,1.2113092613993657,11446.050000000003,851.0,0
2015-02-08,2,0.0,1.2113092613993657,11446.050000000003,825.0,0
2015-02-09,1,0.005588010453957371,1.216897271853323,11437.750000000004,830.0,10
2015-02-10,1,0.006037358039595763,1.222934629892919,11487.750000000004,835.0,10
2015-02-11,1,-0.006006895381962109,1.2169277345109568,11437.750000000004,830.0,10
2015-02-12,1,0.009663562205792417,1.2265912967167492,11517.750000000004,838.0,10
2015-02-15,2,0.06046589456180719,1.2870571912785564,12098.780000000004,897.0,0
2015-02-16,2,0.0,1.2870571912785564,12098.780000000004,945.0,0
2015-02-18,1,0.06728189820027454,1.354339089478831,12089.330000000005,945.0,10
2015-02-22,2,-0.032329083535975064,1.322010005942856,11600.360000000006,897.0,0
2015-02-23,1,0.42312937690416086,1.7451393828470168,11590.860000000008,950.0,10
2015-02-24,2,0.1619115190018,1.9070509018488169,12490.450000000008,1041.0,0
2015-02-25,1,0.18936390374291387,2.096414805591731,12480.60000000001,985.0,10
2015-02-26,1,-0.01718065296799915,2.079234152623732,12380.60000000001,975.0,10
2015-03-01,1,0.022542604964020132,2.101776757587752,12510.60000000001,988.0,10
2015-03-02,1,-0.03083437896026441,2.0709423786274876,12330.60000000001,970.0,10
2015-03-03,2,-0.007108045832788883,2.063834332794699,12221.00000000001,960.0,0
2015-03-04,2,0.0,2.063834332794699,12221.00000000001,953.0,0
2015-03-09,2,0.0,2.063834332794699,12221.00000000001,966.0,0
2015-03-10,2,0.0,2.063834332794699,12221.00000000001,940.0,0
2015-03-11,1,-0.04175153530702525,2.0220827974876734,12211.58000000001,942.0,10
2015-03-12,1,-0.029524965601695576,1.9925578318859778,12041.58000000001,925.0,10
2015-03-15,2,-0.0006143003614042203,1.9919435315245735,12032.33000000001,925.0,0
2015-03-16,1,0.06518659861042748,2.057130130135001,12023.530000000012,880.0,10
2015-03-17,2,0.01867990057218494,2.075810030707186,12304.440000000011,909.0,0
2015-03-18,2,0.0,2.075810030707186,12304.440000000011,910.0,0
2015-03-19,2,0.0,2.075810030707186,12304.440000000011,909.0,0
2015-03-22,1,0.31904839872268775,2.3948584294298736,12295.490000000013,895.0,10
2015-03-23,2,-0.007079150295837132,2.3877792791340364,12186.640000000012,885.0,0
2015-03-24,2,0.0,2.3877792791340364,12186.640000000012,875.0,0
2015-03-25,1,0.3141472074616894,2.7019264865957258,12178.040000000014,860.0,10
2015-03-26,1,-0.011187264737535209,2.6907392218581907,12078.040000000014,850.0,10
2015-03-29,2,0.009076828119164035,2.699816049977355,12169.440000000013,860.0,0
2015-03-30,1,0.009917942251762856,2.709733992229118,12160.740000000014,870.0,10
2015-03-31,2,0.007024662002740682,2.7167586542318585,12231.960000000014,878.0,0
2015-04-01,1,-0.021667406176113693,2.695091248055745,12223.360000000015,860.0,10
2015-04-02,1,-0.013349959411886712,2.6817412886438583,12103.360000000015,848.0,10
2015-04-06,2,-0.01667953159272951,2.6650617570511286,11935.040000000015,832.0,0
2015-04-06,1,-0.025307609774615183,2.6397541472765136,11926.590000000017,845.0,10
2015-04-07,1,-0.01600341153020952,2.623750735746304,11786.590000000017,831.0,10
2015-04-08,2,0.0184684244016438,2.642219160147948,11968.090000000017,850.0,0
2015-04-09,1,0.005285833094597784,2.647504993242546,11959.490000000018,860.0,10
2015-04-12,1,0.005750823881052998,2.653255817123599,12009.490000000018,865.0,10
2015-04-13,2,0.0061201178469199825,2.659375934970519,12070.770000000019,872.0,0
2015-04-15,2,0.0,2.659375934970519,12070.770000000019,841.0,0
2015-04-16,1,-0.02992129307815755,2.6294546418923614,12062.27000000002,850.0,10
2015-04-19,1,-0.01916143426163313,2.610293207630728,11892.27000000002,833.0,10
2015-04-21,1,0.01374358710068027,2.6240367947314085,12012.27000000002,845.0,10
2015-04-22,2,-0.005831000897657259,2.6182057938337513,11953.87000000002,840.0,0
2015-04-23,2,0.0,2.6182057938337513,11953.87000000002,843.0,0
2015-06-02,2,0.0,2.6182057938337513,11953.87000000002,760.0,0
2015-06-03,2,0.0,2.6182057938337513,11953.87000000002,806.0,0
2015-06-07,2,0.0,2.6182057938337513,11953.87000000002,812.0,0
2015-06-07,2,0.0,2.6182057938337513,11953.87000000002,835.0,0
2015-06-08,1,0.0022869184733014243,2.6204927123070525,11945.610000000022,826.0,10
2015-06-09,1,0.0033980262027258528,2.6238907385097785,11975.610000000022,829.0,10
2015-06-10,2,-0.025838303929590054,2.5980524345801883,11717.570000000022,804.0,0
2015-06-11,1,-0.011031401570717287,2.587021033009471,11709.620000000023,795.0,10
2015-06-14,1,-0.005727260018368676,2.5812937729911023,11659.620000000023,790.0,10
2015-06-15,2,0.0012425613573168878,2.5825363343484193,11671.700000000023,792.0,0
2015-06-16,2,0.0,2.5825363343484193,11671.700000000023,777.0,0
2015-06-17,1,0.02283309859810145,2.605369432946521,11663.780000000024,792.0,10
2015-06-18,2,0.014592931805089563,2.6199623647516104,11805.710000000025,807.0,0
2015-06-22,1,-0.0025376531434611084,2.617424711608149,11797.910000000025,780.0,10
2015-06-23,1,0.0,2.617424711608149,11797.910000000025,780.0,10
2015-06-24,2,-0.006885858419278929,2.6105388531888702,11730.170000000026,774.0,0
2015-06-25,1,0.0024766463744041443,2.613015499563274,11722.220000000027,795.0,10
2015-06-28,2,0.0022528145693439467,2.615268314132618,11744.240000000027,798.0,0
2015-06-29,1,-0.027722185013072914,2.587546129119545,11736.190000000028,805.0,10
2015-06-30,1,-0.01718500965494412,2.570361119464601,11586.190000000028,790.0,10
2015-07-01,2,-0.009089848049040387,2.5612712714155608,11498.370000000028,782.0,0
2015-07-02,1,-0.02516476627559328,2.5361065051399674,11490.710000000028,766.0,10
2015-07-05,2,-0.014352837161875633,2.521753667978092,11353.18000000003,753.0,0
2015-07-06,2,0.0,2.521753667978092,11353.18000000003,750.0,0
2015-07-07,1,0.021599422985802214,2.543353090963894,11345.38000000003,780.0,10
2015-07-08,1,0.01668481522051827,2.5600379061844123,11485.38000000003,794.0,10
2015-07-09,1,0.030728207516482992,2.5907661137008953,11745.38000000003,820.0,10
2015-07-12,2,0.055223114494370985,2.6459892281952664,12286.63000000003,875.0,0
2015-07-13,1,0.13580515685028213,2.7817943850455484,12277.630000000032,900.0,10
2015-07-14,2,-0.0008790649707347653,2.7809153200748136,12268.630000000032,900.0,0
2015-07-15,2,0.0,2.7809153200748136,12268.630000000032,915.0,0
2015-07-22,2,0.0,2.7809153200748136,12268.630000000032,960.0,0
2015-07-23,2,0.0,2.7809153200748136,12268.630000000032,935.0,0
2015-07-27,1,-0.1274958460872066,2.653419473987607,12259.470000000032,916.0,10
2015-07-28,2,-0.05393466314746494,2.599484810840142,11431.130000000032,834.0,0
2015-07-29,1,0.07102678814199384,2.6705115989821357,11422.730000000032,840.0,10
2015-07-30,2,0.02038278080657679,2.6908943797887126,11714.030000000032,870.0,0
2015-08-02,1,-0.051342038698573886,2.639552341090139,11705.330000000033,870.0,10
2015-08-03,1,-0.035622527349998094,2.603929813740141,11505.330000000033,850.0,10
2015-08-04,1,0.018145558242281236,2.6220753719824224,11605.330000000033,860.0,10
2015-08-05,1,0.019815567649797475,2.6418909396322197,11715.330000000033,871.0,10
2015-08-09,2,-0.028531541440771604,2.6133593981914482,11297.030000000033,830.0,0
2015-08-10,2,0.0,2.6133593981914482,11297.030000000033,855.0,0
2015-08-11,1,-0.01574659416865083,2.5976128040227975,11288.630000000034,840.0,10
2015-08-12,2,-0.004132052172874137,2.593480751849923,11230.280000000033,835.0,0
2015-08-13,2,0.0,2.593480751849923,11230.280000000033,825.0,0
2015-08-16,2,0.0,2.593480751849923,11230.280000000033,781.0,0
2015-08-17,2,0.0,2.593480751849923,11230.280000000033,808.0,0
2015-08-18,1,-0.015925893964543428,2.5775548578853797,11222.130000000034,815.0,10
2015-08-19,1,-0.009215868698063834,2.568338989187316,11172.130000000034,810.0,10
2015-08-20,1,-0.011098887528820581,2.557240101658495,11112.130000000034,804.0,10
2015-08-23,1,-0.005576998121625937,2.5516631035368693,11082.130000000034,801.0,10
2015-08-24,1,0.029890660167527682,2.581553763704397,11242.130000000034,817.0,10
2015-08-31,2,0.0107838964448466,2.592337660149244,11393.800000000036,833.0,0
2015-09-08,2,0.0,2.592337660149244,11393.800000000036,865.0,0
2015-09-09,1,0.03822693804782903,2.630564598197073,11385.190000000037,861.0,10
2015-09-10,2,0.011318639394409752,2.6418832375914825,11546.410000000036,878.0,0
2015-09-13,1,0.20760831200988147,2.849491549601364,11537.460000000037,895.0,10
2015-09-15,1,0.16540152210757353,3.0148930717089373,12427.460000000037,984.0,10
2015-09-16,2,0.11599081101350187,3.130883882722439,12677.360000000037,1010.0,0
2015-09-24,2,0.0,3.130883882722439,12677.360000000037,1000.0,0
