Date,Action,Portfolio_Value,Position,Stock_Price
2019-02-04,0,10000.0,0,764.0
2019-02-05,0,10000.0,0,802.0
2019-02-06,0,10000.0,0,786.0
2019-02-07,0,10000.0,0,780.0
2019-02-10,0,10000.0,0,767.0
2019-02-11,0,10000.0,0,768.0
2019-02-12,0,10000.0,0,798.0
2019-02-13,1,9992.34,10,766.0
2019-02-14,0,9772.34,10,744.0
2019-02-17,0,9932.34,10,760.0
2019-02-18,0,9812.34,10,748.0
2019-02-19,0,10072.34,10,774.0
2019-02-20,0,9982.34,10,765.0
2019-02-21,0,9902.34,10,757.0
2019-02-24,0,9882.34,10,755.0
2019-02-25,0,10032.34,10,770.0
2019-02-26,0,9852.34,10,752.0
2019-02-27,0,9862.34,10,753.0
2019-03-03,1,9862.34,10,753.0
2019-03-05,1,9872.34,10,754.0
2019-03-06,0,10032.34,10,770.0
2019-03-07,0,10212.34,10,788.0
2019-03-10,1,10212.34,10,788.0
2019-03-11,0,10092.34,10,776.0
2019-03-12,1,10202.34,10,787.0
2019-03-13,0,10072.34,10,774.0
2019-03-14,0,10072.34,10,774.0
2019-03-17,0,10032.34,10,770.0
2019-03-18,0,10082.34,10,775.0
2019-03-19,1,9982.34,10,765.0
2019-03-21,0,9852.34,10,752.0
2019-03-25,0,9922.34,10,759.0
2019-03-26,0,9882.34,10,755.0
2019-03-28,0,9932.34,10,760.0
2019-03-28,0,9932.34,10,760.0
2019-04-01,0,9932.34,10,760.0
2019-04-02,0,9972.34,10,764.0
2019-04-03,0,9862.34,10,753.0
2019-04-04,0,9892.34,10,756.0
2019-04-07,0,9792.34,10,746.0
2019-04-08,1,10182.34,10,785.0
2019-04-09,0,10032.34,10,770.0
2019-04-10,0,10042.34,10,771.0
2019-04-11,0,10032.34,10,770.0
2019-04-15,0,10282.34,10,795.0
2019-04-16,0,10532.34,10,820.0
2019-04-17,1,10432.34,10,810.0
2019-04-18,0,10622.34,10,829.0
2019-04-21,0,10682.34,10,835.0
2019-04-22,0,10382.34,10,805.0
2019-04-23,1,10332.34,10,800.0
2019-04-24,0,10332.34,10,800.0
2019-04-25,0,10332.34,10,800.0
2019-04-28,0,10832.34,10,850.0
2019-04-29,1,10592.34,10,826.0
2019-04-30,1,10482.34,10,815.0
