Date,Action,Reward,Cumulative_Reward,Portfolio_Value,Stock_Price,Position
2011-12-01,0,0.06110002932351646,0.06110002932351646,10000.0,196.0,0
2012-02-01,0,-0.013257270014801448,0.04784275930871501,10000.0,181.0,0
2012-03-04,0,0.013041104535792951,0.06088386384450796,10000.0,184.0,0
2012-04-03,0,0.013257162346538743,0.0741410261910467,10000.0,181.0,0
2012-04-12,0,0.0,0.0741410261910467,10000.0,178.0,0
2012-04-16,0,-0.013480446229553569,0.060660579961493134,10000.0,178.0,0
2012-04-19,0,0.0,0.060660579961493134,10000.0,181.0,0
2012-04-29,0,-0.013256947012636593,0.04740363294885654,10000.0,181.0,0
2012-05-09,0,0.02607464336056739,0.07347827630942394,10000.0,184.0,0
2012-05-24,0,0.013480227268888121,0.08695850357831206,10000.0,178.0,0
2012-06-06,0,0.02741437773664776,0.11437288131495982,10000.0,175.0,0
2012-06-14,0,0.0,0.11437288131495982,10000.0,169.0,0
2012-06-17,0,0.009465745132914392,0.12383862644787422,10000.0,169.0,0
2012-06-19,0,0.014367727958089747,0.13820635440596396,10000.0,167.0,0
2012-07-02,0,0.014630434743884937,0.15283678914984888,10000.0,164.0,0
2012-07-17,0,0.004968153870675413,0.1578049430205243,10000.0,161.0,0
2012-07-22,0,0.0,0.1578049430205243,10000.0,160.0,0
2012-07-26,0,0.014995928261613826,0.17280087128213814,10000.0,160.0,0
2012-07-30,0,0.015282343518928264,0.1880832148010664,10000.0,157.0,0
2012-08-12,0,0.015579913657897322,0.20366312845896373,10000.0,154.0,0
2012-08-26,0,-0.005297053811364107,0.19836607464759962,10000.0,151.0,0
2012-08-27,0,-0.07346402100904365,0.12490205363855597,10000.0,152.0,0
2012-08-28,0,-0.014453733504046114,0.11044832013450986,10000.0,166.0,0
2012-08-29,0,-0.014197155081458359,0.09625116505305151,10000.0,169.0,0
2012-08-30,0,-0.04181466109490174,0.054436503958149765,10000.0,172.0,0
2012-09-02,0,-0.039738830347946286,0.01469767361020348,10000.0,181.0,0
2012-09-03,0,-0.01262811896841722,0.002069554641786259,10000.0,190.0,0
2012-09-04,0,0.012431808345623279,0.014501362987409538,10000.0,193.0,0
2012-10-10,0,0.0378588861601669,0.05236024914757644,10000.0,190.0,0
2012-10-11,0,0.013255762738693437,0.06561601188626988,10000.0,181.0,0
2012-10-15,0,0.008986524514370122,0.07460253640064,10000.0,178.0,0
2012-10-18,0,0.004544445932330094,0.0791469823329701,10000.0,176.0,0
2012-11-06,0,0.0,0.0791469823329701,10000.0,175.0,0
2012-11-11,0,-0.013709935786846674,0.06543704654612342,10000.0,175.0,0
2012-11-26,0,0.008986378547734136,0.07442342509385756,10000.0,178.0,0
